"","WT","Mean_pp","Percentile_95","Number_of_Days"
"1",0,4.25315797488764,23.9155522346496,8
"2",1,6.47880210467097,34.8600006103516,120
"3",2,3.84172932603557,22.2299995422363,438
"4",3,3.6826180641897,20.5799980163574,146
"5",4,2.40438328013185,13.1700009822845,2
"6",5,4.91286579451825,28.2600002288818,5
"7",6,6.656974947565,36.9599990844727,71
"8",7,9.31301019205578,47.9999961853027,123
"9",8,5.74377959211926,31.5299987792969,198
"10",9,3.58416921785531,21.1499996185303,158
"11",10,NA,NA,0
"12",11,5.53577346114001,31.4699993133545,177
"13",12,3.7384590959529,21.7199993133545,414
"14",13,NA,NA,0
"15",14,4.88878068608017,28.1099967956543,316
"16",15,NA,NA,0
"17",16,NA,NA,0
"18",17,8.84919513686854,47.7000007629395,110
"19",18,NA,NA,0
"20",19,3.80696300953319,21.0299987792969,283
"21",20,5.11144911358614,28.2299995422363,128
"22",21,NA,NA,0
"23",22,4.70160205876743,26.2199993133545,269
"24",23,NA,NA,0
"25",24,4.43442514561073,26.9099979400635,440
"26",25,9.05783760187069,45.9599952697754,57
"27",26,5.31227221690603,28.8299980163574,305
"28",27,3.09882623582946,18.1499996185303,155
"29",28,6.61890440649923,36.9899978637695,62
"30",29,4.20192152772104,24.0300006866455,110
"31",30,5.01232244166213,27.2099990844727,123
"32",31,5.96423700911395,31.6199989318848,193
"33",32,6.36233434714256,36.3300003051758,9
"34",33,3.83091070909859,21.2999992370605,192
"35",34,5.56425781509068,32.129997253418,327
"36",35,4.12158096796791,23.2199993133545,226
"37",36,4.72385758121352,27.3899974822998,354
"38",37,5.18217915260458,27.2399997711182,236
"39",38,5.030386938837,29.0700016021729,113
"40",39,3.93801777385517,23.2799987792969,144
"41",40,4.95023038058021,27.3899974822998,305
"42",41,NA,NA,0
"43",42,5.38331530912334,29.6999988555908,473
"44",43,3.44019485311717,18.7800006866455,432
"45",44,4.71643753185792,27.3299980163574,316
"46",45,4.40414578942888,24.9899997711182,294
"47",46,4.06262301187708,22.5599975585938,201
"48",47,NA,NA,0
"49",48,6.7020687061949,35.4300003051758,2
"50",49,NA,NA,0
