,Date,Year,Month,Day,WT,Train_or_Test,SPI,Tertile
1,1979-01-01 GMT,1979,1,1,4,test,NA,NA
2,1979-01-02 GMT,1979,1,2,4,test,NA,NA
3,1979-01-03 GMT,1979,1,3,4,test,NA,NA
4,1979-01-04 GMT,1979,1,4,4,test,NA,NA
5,1979-01-05 GMT,1979,1,5,1,test,NA,NA
6,1979-01-06 GMT,1979,1,6,1,test,NA,NA
7,1979-01-07 GMT,1979,1,7,2,test,NA,NA
8,1979-01-08 GMT,1979,1,8,4,test,NA,NA
9,1979-01-09 GMT,1979,1,9,4,test,NA,NA
10,1979-01-10 GMT,1979,1,10,4,test,NA,NA
11,1979-01-11 GMT,1979,1,11,1,test,NA,NA
12,1979-01-12 GMT,1979,1,12,4,test,NA,NA
13,1979-01-13 GMT,1979,1,13,4,test,NA,NA
14,1979-01-14 GMT,1979,1,14,4,test,NA,NA
15,1979-01-15 GMT,1979,1,15,4,test,NA,NA
16,1979-01-16 GMT,1979,1,16,4,test,NA,NA
17,1979-01-17 GMT,1979,1,17,4,test,NA,NA
18,1979-01-18 GMT,1979,1,18,4,test,NA,NA
19,1979-01-19 GMT,1979,1,19,4,test,NA,NA
20,1979-01-20 GMT,1979,1,20,4,test,NA,NA
21,1979-01-21 GMT,1979,1,21,4,test,NA,NA
22,1979-01-22 GMT,1979,1,22,1,test,NA,NA
23,1979-01-23 GMT,1979,1,23,1,test,NA,NA
24,1979-01-24 GMT,1979,1,24,1,test,NA,NA
25,1979-01-25 GMT,1979,1,25,2,test,NA,NA
26,1979-01-26 GMT,1979,1,26,4,test,NA,NA
27,1979-01-27 GMT,1979,1,27,1,test,NA,NA
28,1979-01-28 GMT,1979,1,28,4,test,NA,NA
29,1979-01-29 GMT,1979,1,29,1,test,NA,NA
30,1979-01-30 GMT,1979,1,30,1,test,NA,NA
31,1979-01-31 GMT,1979,1,31,4,test,NA,NA
32,1979-02-01 GMT,1979,2,1,4,test,NA,NA
33,1979-02-02 GMT,1979,2,2,4,test,NA,NA
34,1979-02-03 GMT,1979,2,3,1,test,NA,NA
35,1979-02-04 GMT,1979,2,4,1,test,NA,NA
36,1979-02-05 GMT,1979,2,5,1,test,NA,NA
37,1979-02-06 GMT,1979,2,6,2,test,NA,NA
38,1979-02-07 GMT,1979,2,7,1,test,NA,NA
39,1979-02-08 GMT,1979,2,8,1,test,NA,NA
40,1979-02-09 GMT,1979,2,9,2,test,NA,NA
41,1979-02-10 GMT,1979,2,10,1,test,NA,NA
42,1979-02-11 GMT,1979,2,11,1,test,NA,NA
43,1979-02-12 GMT,1979,2,12,5,test,NA,NA
44,1979-02-13 GMT,1979,2,13,2,test,NA,NA
45,1979-02-14 GMT,1979,2,14,1,test,NA,NA
46,1979-02-15 GMT,1979,2,15,2,test,NA,NA
47,1979-02-16 GMT,1979,2,16,2,test,NA,NA
48,1979-02-17 GMT,1979,2,17,2,test,NA,NA
49,1979-02-18 GMT,1979,2,18,2,test,NA,NA
50,1979-02-19 GMT,1979,2,19,2,test,NA,NA
51,1979-02-20 GMT,1979,2,20,2,test,NA,NA
52,1979-02-21 GMT,1979,2,21,4,test,NA,NA
53,1979-02-22 GMT,1979,2,22,4,test,NA,NA
54,1979-02-23 GMT,1979,2,23,1,test,NA,NA
55,1979-02-24 GMT,1979,2,24,1,test,NA,NA
56,1979-02-25 GMT,1979,2,25,2,test,NA,NA
57,1979-02-26 GMT,1979,2,26,2,test,NA,NA
58,1979-02-27 GMT,1979,2,27,1,test,NA,NA
59,1979-02-28 GMT,1979,2,28,3,test,NA,NA
60,1979-03-01 GMT,1979,3,1,5,test,NA,NA
61,1979-03-02 GMT,1979,3,2,2,test,NA,NA
62,1979-03-03 GMT,1979,3,3,1,test,NA,NA
63,1979-03-04 GMT,1979,3,4,1,test,NA,NA
64,1979-03-05 GMT,1979,3,5,2,test,NA,NA
65,1979-03-06 GMT,1979,3,6,1,test,NA,NA
66,1979-03-07 GMT,1979,3,7,2,test,NA,NA
67,1979-03-08 GMT,1979,3,8,2,test,NA,NA
68,1979-03-09 GMT,1979,3,9,4,test,NA,NA
69,1979-03-10 GMT,1979,3,10,4,test,NA,NA
70,1979-03-11 GMT,1979,3,11,1,test,NA,NA
71,1979-03-12 GMT,1979,3,12,1,test,NA,NA
72,1979-03-13 GMT,1979,3,13,4,test,NA,NA
73,1979-03-14 GMT,1979,3,14,4,test,NA,NA
74,1979-03-15 GMT,1979,3,15,1,test,NA,NA
75,1979-03-16 GMT,1979,3,16,1,test,NA,NA
76,1979-03-17 GMT,1979,3,17,1,test,NA,NA
77,1979-03-18 GMT,1979,3,18,1,test,NA,NA
78,1979-03-19 GMT,1979,3,19,2,test,NA,NA
79,1979-03-20 GMT,1979,3,20,1,test,NA,NA
80,1979-03-21 GMT,1979,3,21,1,test,NA,NA
81,1979-03-22 GMT,1979,3,22,1,test,NA,NA
82,1979-03-23 GMT,1979,3,23,1,test,NA,NA
83,1979-03-24 GMT,1979,3,24,2,test,NA,NA
84,1979-03-25 GMT,1979,3,25,1,test,NA,NA
85,1979-03-26 GMT,1979,3,26,1,test,NA,NA
86,1979-03-27 GMT,1979,3,27,2,test,NA,NA
87,1979-03-28 GMT,1979,3,28,2,test,NA,NA
88,1979-03-29 GMT,1979,3,29,4,test,NA,NA
89,1979-03-30 GMT,1979,3,30,1,test,NA,NA
90,1979-03-31 GMT,1979,3,31,1,test,NA,NA
91,1979-04-01 GMT,1979,4,1,2,test,NA,NA
92,1979-04-02 GMT,1979,4,2,4,test,NA,NA
93,1979-04-03 GMT,1979,4,3,4,test,NA,NA
94,1979-04-04 GMT,1979,4,4,1,test,NA,NA
95,1979-04-05 GMT,1979,4,5,1,test,NA,NA
